SubjectID,Regularization,Mean,Sigma,5th%,95th%,5th%mean,95th%mean,Min,Max
1005_3x1011_3,bsyn,-0.0930762,0.350959,-0.702131,0.425295,-0.886749,0.583277,-1.78021,1.43218

1005_3x1011_3,syn,-0.0783616,0.299129,-0.598413,0.36015,-0.763675,0.500981,-1.50979,1.20359

1005_3x1012_3,bsyn,-0.0706296,0.356034,-0.66013,0.442048,-0.892379,0.658352,-2.10989,1.30473

1005_3x1012_3,syn,-0.0639341,0.332253,-0.608552,0.41737,-0.834436,0.622147,-2.03804,1.24374

1005_3x1013_3,bsyn,-0.0531336,0.346979,-0.660139,0.472968,-0.833899,0.631759,-1.49334,1.36866

1005_3x1013_3,syn,-0.0427593,0.315684,-0.600489,0.432525,-0.764499,0.571384,-1.36119,1.09901

1005_3x1014_3,bsyn,-0.0811965,0.380525,-0.711056,0.486372,-0.964166,0.651266,-2.16779,1.46101

1005_3x1014_3,syn,-0.0687163,0.341376,-0.623096,0.43867,-0.856089,0.589807,-1.9576,1.42351

1005_3x1015_3,bsyn,-0.0977799,0.360529,-0.706926,0.440916,-0.981272,0.623337,-2.09955,1.3405

1005_3x1015_3,syn,-0.0792325,0.299793,-0.5715,0.364777,-0.817607,0.514733,-1.70282,1.17971

1005_3x1017_3,bsyn,-0.0714018,0.367637,-0.722117,0.4705,-0.927651,0.622336,-1.93423,1.30653

1005_3x1017_3,syn,-0.0538574,0.313605,-0.596432,0.40176,-0.77823,0.54194,-1.69405,1.23201

1005_3x1036_3,bsyn,-0.034909,0.36374,-0.690735,0.498661,-0.883826,0.762138,-1.708,1.63128

1005_3x1036_3,syn,-0.0230724,0.302245,-0.557293,0.433714,-0.704996,0.669923,-1.20563,1.23277

1018_3x1000_3,bsyn,-0.0712703,0.315196,-0.617949,0.426473,-0.776613,0.594929,-1.49973,1.50513

1018_3x1000_3,syn,-0.0589317,0.277019,-0.53705,0.373815,-0.691354,0.529733,-1.33715,1.43992

1018_3x1001_3,bsyn,0.042827,0.32276,-0.452527,0.574191,-0.614608,0.715918,-1.86671,1.71107

1018_3x1001_3,syn,0.048359,0.290485,-0.407438,0.526879,-0.553551,0.651492,-1.67824,1.33422

1018_3x1002_3,bsyn,-0.10799,0.288245,-0.614944,0.332933,-0.772551,0.60332,-1.50774,1.15955

1018_3x1002_3,syn,-0.0959336,0.246509,-0.524557,0.289451,-0.655682,0.548177,-1.29096,1.06802

1018_3x1006_3,bsyn,-0.0223098,0.309847,-0.537392,0.485959,-0.728032,0.625667,-1.5238,1.4314

1018_3x1006_3,syn,-0.0128831,0.280886,-0.483007,0.443755,-0.649868,0.574961,-1.31031,1.26283

1018_3x1007_3,bsyn,-0.00882943,0.309294,-0.540205,0.496403,-0.690345,0.652829,-1.401,1.59257

1018_3x1007_3,syn,-0.00376971,0.283996,-0.487997,0.455056,-0.642784,0.600471,-1.30694,1.43826

