SubjectID,Regularization,Mean,Sigma,5th%,95th%,5th%mean,95th%mean,Min,Max
S01xS39,bsyn,0.0114313,0.297802,-0.489178,0.489834,-0.622842,0.63389,-1.18619,1.41454

S01xS39,syn,0.0212661,0.261587,-0.41139,0.445658,-0.533354,0.566168,-1.20256,1.1865

S01xS40,bsyn,-0.024542,0.291072,-0.488943,0.468828,-0.59788,0.625555,-1.04446,1.40286

S01xS40,syn,-0.0135228,0.249264,-0.411929,0.410643,-0.513442,0.551024,-1.06677,1.46698

S02xS01,bsyn,-0.012484,0.296559,-0.523671,0.449253,-0.67921,0.5604,-1.36827,1.07703

S02xS01,syn,-8.53421e-05,0.253793,-0.431954,0.406641,-0.564242,0.511526,-1.26303,1.13961

S02xS03,bsyn,0.00862216,0.306433,-0.490493,0.519155,-0.644782,0.656902,-1.4875,1.72498

S02xS03,syn,0.0220725,0.259255,-0.400005,0.45335,-0.534168,0.570061,-1.37783,1.31745

S02xS04,bsyn,-0.0132248,0.26074,-0.427032,0.423835,-0.563679,0.565189,-1.18913,1.3739

S02xS04,syn,0.00742341,0.208242,-0.321181,0.359029,-0.420697,0.473146,-1.04221,1.06251

S02xS05,bsyn,-0.0361373,0.314674,-0.573609,0.461826,-0.712005,0.597116,-1.35819,1.47874

S02xS05,syn,-0.0238259,0.272762,-0.487483,0.407891,-0.607734,0.536974,-1.29648,1.45973

S02xS06,bsyn,-0.0110165,0.301155,-0.509819,0.474582,-0.671737,0.614619,-1.3088,1.34818

S02xS06,syn,0.00290046,0.254107,-0.42153,0.409339,-0.557953,0.534807,-1.1364,1.18299

S02xS07,bsyn,-0.0531661,0.306078,-0.562676,0.434682,-0.730726,0.588627,-1.65831,1.17353

S02xS07,syn,-0.0325343,0.249081,-0.446536,0.371284,-0.58147,0.507238,-1.22933,1.07157

S02xS08,bsyn,0.00931614,0.302384,-0.508023,0.501175,-0.643084,0.633279,-1.16289,1.39739

S02xS08,syn,0.0151247,0.26172,-0.420715,0.433013,-0.560403,0.560044,-1.35032,1.25516

S02xS09,bsyn,-0.0184685,0.265756,-0.472524,0.407474,-0.598097,0.526043,-1.20425,1.18702

S02xS09,syn,-0.0110134,0.235836,-0.412613,0.361755,-0.53193,0.47043,-1.03642,1.17335

S02xS10,bsyn,-0.0181304,0.300712,-0.50531,0.48669,-0.648006,0.618459,-1.28501,1.52522

S02xS10,syn,-0.00157118,0.246561,-0.399744,0.416703,-0.513553,0.531355,-1.14728,1.28917

S02xS11,bsyn,-0.0236993,0.277429,-0.472717,0.438584,-0.626406,0.569927,-1.35416,1.24242

S02xS11,syn,-0.0113474,0.251418,-0.418211,0.406291,-0.567138,0.530134,-1.24568,1.25277

S02xS12,bsyn,-0.0607549,0.312757,-0.560316,0.458627,-0.730051,0.618179,-1.55177,1.39891

S02xS12,syn,-0.0426579,0.263433,-0.470004,0.390882,-0.626941,0.525635,-1.34109,1.28168

S02xS13,bsyn,-0.0203747,0.308082,-0.532186,0.477163,-0.687268,0.60366,-1.36496,1.32833

S02xS13,syn,-0.00758557,0.260641,-0.436353,0.408968,-0.571434,0.523767,-1.14262,1.3256

S02xS14,bsyn,-0.0320801,0.296751,-0.524708,0.459883,-0.66247,0.64702,-1.12963,1.42691

S02xS14,syn,-0.0228679,0.258058,-0.456817,0.394888,-0.580947,0.576352,-1.13015,1.14665

S02xS15,bsyn,0.0087557,0.317481,-0.50931,0.54031,-0.683432,0.683409,-1.46887,1.32475

S02xS15,syn,0.0263958,0.256805,-0.390528,0.447689,-0.545156,0.569824,-1.48847,1.30539

S02xS16,bsyn,0.00615026,0.307892,-0.506647,0.501906,-0.682049,0.624185,-1.64434,1.2681

S02xS16,syn,0.0190273,0.24999,-0.396392,0.424898,-0.530215,0.526854,-1.06391,1.09693

S02xS17,bsyn,-0.0129263,0.309123,-0.528657,0.494154,-0.675493,0.620619,-1.27177,1.35276

