SubjectID,Regularization,Mean,Sigma,5th%,95th%,5th%mean,95th%mean,Min,Max
g4xg3,syn,0.00521809,0.166173,-0.263189,0.274835,-0.390197,0.346137,-0.690224,0.830594

g4xg5,bsyn,-0.103836,0.324688,-0.652788,0.407056,-0.816378,0.525379,-1.52187,1.38967

g4xg5,syn,-0.0593513,0.168585,-0.332679,0.222848,-0.405987,0.323133,-0.777395,0.705916

g4xg6,bsyn,-0.0884237,0.344417,-0.681264,0.454466,-0.846625,0.598503,-1.67005,1.63822

g4xg6,syn,-0.042793,0.176466,-0.328597,0.2488,-0.412312,0.351333,-0.838605,0.849813

g4xg7,bsyn,-0.060092,0.317808,-0.587243,0.453121,-0.728519,0.574791,-1.66798,1.42325

g4xg7,syn,-0.0248089,0.190644,-0.3371,0.294384,-0.411593,0.382046,-0.76257,0.748265

g4xg8,bsyn,-0.098798,0.325483,-0.649894,0.419914,-0.783454,0.553304,-1.30831,1.33156

g4xg8,syn,-0.0632215,0.208107,-0.405731,0.272427,-0.497367,0.379637,-1.14383,0.930579

g4xg9,bsyn,-0.0626768,0.316398,-0.580604,0.45683,-0.723207,0.58411,-1.54738,1.52387

g4xg9,syn,-0.0364366,0.205274,-0.370166,0.302332,-0.45899,0.374238,-0.925952,0.892052

g5xg10,bsyn,-0.0107387,0.33773,-0.583004,0.531253,-0.725777,0.663737,-1.39797,1.25527

g5xg10,syn,0.0222031,0.199661,-0.317646,0.34059,-0.41408,0.41185,-0.937503,0.848793

g5xg1,bsyn,-0.0496802,0.301698,-0.55609,0.435366,-0.701406,0.565564,-1.2396,1.31462

g5xg1,syn,-0.0269387,0.179809,-0.330427,0.263544,-0.417613,0.355738,-0.75401,0.679957

g5xg2,bsyn,-0.0175701,0.359727,-0.619073,0.562054,-0.751149,0.719159,-1.32374,1.75866

g5xg2,syn,0.0200395,0.18808,-0.286066,0.333968,-0.39104,0.41462,-0.70171,1.04323

g5xg3,bsyn,0.0368031,0.342121,-0.550697,0.57788,-0.687705,0.718296,-1.58745,1.52659

g5xg3,syn,0.0543337,0.16255,-0.221641,0.311907,-0.36258,0.365386,-0.812404,0.799415

g5xg4,bsyn,-0.00518439,0.328029,-0.538334,0.539126,-0.666728,0.68481,-1.51199,1.80927

g5xg4,syn,0.0241436,0.169472,-0.259424,0.296299,-0.364579,0.365208,-0.771224,0.783179

g5xg6,bsyn,-0.0163098,0.317716,-0.544998,0.503088,-0.693797,0.630421,-1.3638,1.41043

g5xg6,syn,0.0131911,0.164735,-0.253256,0.286311,-0.346205,0.357545,-0.706654,0.93179

g5xg7,bsyn,-0.0209084,0.332056,-0.570937,0.515952,-0.698958,0.644965,-1.35345,1.78553

g5xg7,syn,0.0137655,0.181433,-0.286634,0.30768,-0.37171,0.386291,-0.794401,0.857605

g5xg8,bsyn,-0.0761093,0.374472,-0.710615,0.524211,-0.854934,0.656916,-1.65068,1.71998

g5xg8,syn,-0.0386511,0.219402,-0.400879,0.321716,-0.500704,0.404862,-0.907241,0.857476

g5xg9,bsyn,0.00177051,0.329061,-0.549274,0.544391,-0.67358,0.680616,-1.23394,1.58536

g5xg9,syn,0.0279505,0.175487,-0.264304,0.311805,-0.344549,0.384701,-0.697366,0.824335

g6xg10,bsyn,-0.0168528,0.307451,-0.50683,0.508273,-0.611245,0.632885,-1.19553,1.35828

g6xg10,syn,-0.00136206,0.21246,-0.344706,0.358912,-0.436478,0.448521,-0.800882,1.04546

g6xg1,bsyn,-0.0698941,0.339361,-0.619931,0.488077,-0.760574,0.639654,-1.63976,1.55179

g6xg1,syn,-0.0401341,0.220061,-0.397173,0.3281,-0.495102,0.448742,-0.944619,0.99413

g6xg2,bsyn,-0.0391526,0.32649,-0.572868,0.500541,-0.698022,0.624755,-1.44067,1.58671

g6xg2,syn,-0.0133739,0.222134,-0.374878,0.358273,-0.478331,0.441554,-0.887428,0.939332

g6xg3,bsyn,0.0229979,0.331932,-0.553879,0.548653,-0.698728,0.680858,-1.49072,1.4963

g6xg3,syn,0.0483996,0.195916,-0.282165,0.366804,-0.437403,0.445333,-0.753249,0.919052

g6xg4,bsyn,-0.0323507,0.336791,-0.584406,0.515903,-0.738098,0.664589,-1.72791,1.62425

g6xg4,syn,-0.000991971,0.21076,-0.358385,0.335263,-0.479306,0.427886,-1.19779,0.977349

g6xg5,bsyn,-0.0823283,0.309852,-0.591955,0.421582,-0.72058,0.553571,-1.36369,1.28222

g6xg5,syn,-0.0491774,0.209274,-0.400433,0.281645,-0.498602,0.385823,-1.06705,0.887945

g6xg7,bsyn,-0.0427675,0.318514,-0.556406,0.488958,-0.681135,0.615391,-1.32506,1.21702

g6xg7,syn,-0.0151704,0.208399,-0.352078,0.336373,-0.436513,0.428745,-0.861606,0.838628

g6xg8,bsyn,-0.0691644,0.332323,-0.65551,0.447658,-0.809123,0.583324,-1.57175,1.47399

g6xg8,syn,-0.0459136,0.247454,-0.47087,0.353134,-0.57912,0.469773,-1.08353,0.995492

g6xg9,bsyn,-0.0275964,0.287003,-0.493139,0.446968,-0.608709,0.582332,-1.25913,1.40269

g6xg9,syn,-0.0121395,0.221525,-0.374613,0.351989,-0.471264,0.438802,-0.856848,1.06549

g7xg10,bsyn,-0.00573609,0.321084,-0.532101,0.521759,-0.649581,0.641558,-1.71501,1.25792

g7xg10,syn,0.0194874,0.17687,-0.274462,0.30421,-0.360581,0.397074,-0.799347,0.790364

g7xg1,bsyn,-0.0756061,0.310461,-0.587263,0.427247,-0.707976,0.56318,-1.37998,1.37868

g7xg1,syn,-0.0405312,0.183931,-0.344398,0.257054,-0.437203,0.356601,-0.872354,0.824053

g7xg2,bsyn,-0.0264112,0.320426,-0.543854,0.502896,-0.660646,0.626738,-1.48028,1.52688

g7xg2,syn,0.012104,0.17371,-0.276353,0.292287,-0.391682,0.373322,-0.674226,0.942818

g7xg3,bsyn,0.00748557,0.305411,-0.479214,0.518801,-0.604161,0.627172,-1.25309,1.33321

g7xg3,syn,0.0253286,0.177604,-0.274414,0.309937,-0.390895,0.382687,-0.708367,0.959529

g7xg4,bsyn,-0.0328031,0.306441,-0.543979,0.464793,-0.666536,0.58976,-1.26697,1.64129

g7xg4,syn,-0.00212067,0.177402,-0.296729,0.291495,-0.381133,0.359385,-0.680579,0.671543

g7xg5,bsyn,-0.067255,0.315186,-0.597183,0.432548,-0.738966,0.538031,-1.73801,1.20786

g7xg5,syn,-0.0314967,0.17249,-0.312792,0.248634,-0.38877,0.336852,-0.797683,0.809201

g7xg6,bsyn,-0.0548374,0.316868,-0.598629,0.44823,-0.728385,0.560951,-1.23439,1.35034

g7xg6,syn,-0.018805,0.170656,-0.311116,0.25526,-0.398885,0.328104,-0.67666,0.735671

g7xg8,bsyn,-0.0646507,0.341989,-0.634346,0.485886,-0.766142,0.615472,-1.43857,1.46743

g7xg8,syn,-0.0238728,0.197968,-0.344394,0.312017,-0.450949,0.388993,-0.822815,0.736843

g7xg9,bsyn,-0.0201554,0.295415,-0.510755,0.463173,-0.63012,0.580517,-1.20443,1.41654

g7xg9,syn,0.00778783,0.18564,-0.304082,0.30739,-0.413522,0.40157,-0.763596,0.825025

g8xg10,bsyn,0.00882828,0.331004,-0.528382,0.562249,-0.672459,0.714637,-1.46938,1.54919

g8xg10,syn,0.0329451,0.219015,-0.336057,0.387522,-0.451002,0.471477,-0.943461,0.918135

g8xg1,bsyn,-0.0538881,0.346778,-0.609503,0.529489,-0.753741,0.679054,-1.46566,1.52597

g8xg1,syn,-0.0161976,0.199487,-0.330724,0.317952,-0.418683,0.414019,-0.914358,0.901088

g8xg2,bsyn,-0.0306069,0.347143,-0.582143,0.568469,-0.730898,0.711718,-1.47503,1.52731

g8xg2,syn,0.00755758,0.209896,-0.331317,0.364405,-0.438501,0.473306,-0.744652,0.951612

g8xg3,bsyn,-0.0024295,0.31737,-0.503705,0.540693,-0.665735,0.67011,-1.26616,1.29112

g8xg3,syn,0.0179188,0.20163,-0.3044,0.355412,-0.437518,0.466736,-0.943396,0.987216

g8xg4,bsyn,-0.0148744,0.33639,-0.574903,0.53761,-0.720052,0.664239,-1.5151,1.37585

g8xg4,syn,0.0174131,0.199923,-0.308589,0.347053,-0.418607,0.435276,-0.907125,1.03662

g8xg5,bsyn,-0.0669167,0.384804,-0.724535,0.560212,-0.877173,0.696535,-1.71627,1.61019

g8xg5,syn,-0.0159955,0.219712,-0.37595,0.350803,-0.46565,0.458039,-0.902668,0.941919

g8xg6,bsyn,-0.0504554,0.334207,-0.590834,0.509553,-0.735052,0.650098,-1.46693,1.58168

g8xg6,syn,-0.0144676,0.215019,-0.37739,0.346512,-0.487017,0.444256,-0.897038,0.93999

g8xg7,bsyn,-0.0344999,0.342601,-0.606203,0.532543,-0.742747,0.661337,-1.3256,1.43223

g8xg7,syn,-0.000374075,0.20176,-0.338528,0.331694,-0.426195,0.420318,-0.826984,0.784388

g8xg9,bsyn,-0.0415896,0.34513,-0.610084,0.520663,-0.761772,0.660704,-1.42545,1.97219

g8xg9,syn,-0.00860185,0.210743,-0.353088,0.342492,-0.459589,0.459456,-0.786092,0.926307

g9xg10,bsyn,-0.0432239,0.332831,-0.607976,0.491384,-0.745854,0.618716,-1.51104,1.44393

g9xg10,syn,-0.0106776,0.206661,-0.361002,0.322421,-0.446647,0.411976,-1.03704,0.851306

g9xg1,bsyn,-0.0960414,0.315422,-0.628226,0.415389,-0.762076,0.555925,-1.40807,1.57912

g9xg1,syn,-0.0508311,0.17709,-0.341274,0.243777,-0.423345,0.359485,-0.861246,0.694506

g9xg2,bsyn,-0.0590795,0.313572,-0.59396,0.434694,-0.728851,0.556778,-1.60009,1.18076

g9xg2,syn,-0.0296126,0.188504,-0.344458,0.276364,-0.426339,0.382,-0.939414,0.794093

g9xg3,bsyn,-0.00831056,0.32784,-0.561521,0.523017,-0.689247,0.641612,-1.42302,1.3457

g9xg3,syn,0.0264113,0.191606,-0.293059,0.336855,-0.421475,0.402006,-0.84228,0.977274

g9xg4,bsyn,-0.0442118,0.321781,-0.585551,0.457129,-0.744193,0.582553,-1.44132,1.45064

g9xg4,syn,-0.00584201,0.18557,-0.318754,0.290287,-0.388692,0.369507,-0.845429,0.862837

g9xg5,bsyn,-0.101822,0.336735,-0.672629,0.449957,-0.8081,0.567501,-1.67847,1.2597

g9xg5,syn,-0.0607725,0.204449,-0.398286,0.272645,-0.487171,0.357891,-1.01825,0.816818

g9xg6,bsyn,-0.0625156,0.300982,-0.563831,0.416803,-0.723545,0.534218,-1.46066,1.27211

g9xg6,syn,-0.0314274,0.190861,-0.346682,0.275177,-0.426651,0.36207,-0.948662,0.720731

g9xg7,bsyn,-0.0545486,0.319008,-0.601386,0.458564,-0.733598,0.576652,-1.54434,1.337

g9xg7,syn,-0.0275041,0.200676,-0.359022,0.301205,-0.45367,0.407508,-0.87203,0.810422

g9xg8,bsyn,-0.069387,0.316556,-0.604148,0.424774,-0.729442,0.55921,-1.55456,1.17877

g9xg8,syn,-0.038004,0.215042,-0.396195,0.305664,-0.502957,0.405758,-1.06748,0.903979

